file,dontrun_n,donttest_n,examples_block
morie_dsp_integrated_emg.Rd,0,0,0
morie_dsp_katz_fd.Rd,0,0,0
morie_dsp_lms.Rd,0,0,0
morie_dsp_matched.Rd,0,0,0
morie_dsp_mean_abs.Rd,0,0,0
morie_dsp_mean_frequency.Rd,0,0,0
morie_dsp_median_filter.Rd,0,0,0
morie_dsp_median_frequency.Rd,0,0,0
morie_dsp_min_phase.Rd,0,0,0
morie_dsp_moving_average.Rd,0,0,0
morie_dsp_myopulse_rate.Rd,0,0,0
morie_dsp_nlms.Rd,0,0,0
morie_dsp_notch.Rd,0,0,0
morie_dsp_onset_detect.Rd,0,0,0
morie_dsp_pan_tompkins.Rd,0,0,0
morie_dsp_parzen_pdf.Rd,0,0,0
morie_dsp_psd_bartlett.Rd,0,0,0
morie_dsp_psd_periodogram.Rd,0,0,0
morie_dsp_psd_to_db.Rd,0,0,0
morie_dsp_psd_welch.Rd,0,0,0
morie_dsp_qrs_features.Rd,0,0,0
morie_dsp_rls.Rd,0,0,0
morie_dsp_rms.Rd,0,0,0
morie_dsp_ruler_fd.Rd,0,0,0
morie_dsp_shannon_energy.Rd,0,0,0
morie_dsp_shape_factor.Rd,0,0,0
morie_dsp_slope_sign_changes.Rd,0,0,0
morie_dsp_snr.Rd,0,0,0
morie_dsp_snr_improvement.Rd,0,0,0
morie_dsp_spectral_edge.Rd,0,0,0
morie_dsp_spectral_entropy.Rd,0,0,0
morie_dsp_spectral_flatness.Rd,0,0,0
morie_dsp_spectral_kurtosis.Rd,0,0,0
morie_dsp_spectral_moment.Rd,0,0,0
morie_dsp_spectral_ratio.Rd,0,0,0
morie_dsp_synchronized_average.Rd,0,0,0
morie_dsp_t_wave.Rd,0,0,0
morie_dsp_teager_energy.Rd,0,0,0
morie_dsp_template_match.Rd,0,0,0
morie_dsp_threshold_detect.Rd,0,0,0
morie_dsp_turning_points.Rd,0,0,0
morie_dsp_turns_count.Rd,0,0,0
morie_dsp_variance_ratio.Rd,0,0,0
morie_dsp_waveform_length.Rd,0,0,0
morie_dsp_waveform_length_norm.Rd,0,0,0
morie_dsp_wiener_filter.Rd,0,0,0
morie_dsp_wiener_hopf.Rd,0,0,0
morie_dsp_willison_amplitude.Rd,0,0,0
morie_dsp_window.Rd,0,0,0
morie_dsp_zero_crossing.Rd,0,0,0
morie_e_value.Rd,0,0,1
morie_effective_sample_size.Rd,0,0,1
morie_eg_coint.Rd,0,0,1
morie_egarch_model.Rd,0,0,1
morie_entheo_analyze_subject.Rd,0,0,0
morie_entheo_available_subjects.Rd,0,0,0
morie_entheo_dataset_overview.Rd,0,0,0
morie_entheo_dynamic_functional_connectivity.Rd,0,0,0
morie_entheo_load_eeg_region.Rd,0,0,0
morie_entheo_load_fmri_subject.Rd,0,0,0
morie_entheo_lz_complexity.Rd,0,0,0
morie_entheo_spectral_band_power.Rd,0,0,0
morie_estimate_aipw.Rd,0,0,1
morie_estimate_atc.Rd,0,0,1
morie_estimate_ate.Rd,0,0,1
morie_estimate_att.Rd,0,0,1
morie_estimate_cate.Rd,0,0,1
morie_estimate_double_ml.Rd,0,0,1
morie_estimate_g_computation.Rd,0,0,1
morie_estimate_gate.Rd,0,0,1
morie_estimate_irm.Rd,0,1,1
morie_estimate_late.Rd,0,0,1
